LGA_Origin,LGA_Destination,trip_freq
20660,20660,5
20660,21890,2
20660,24600,20
20660,25710,2
20660,27350,3
20910,20910,3
20910,21180,1
20910,23430,2
20910,24600,14
20910,25900,1
20910,26350,1
20910,27350,7
21110,21110,20
21110,22310,1
21110,23670,1
21110,24410,1
21110,24600,27
21110,26980,8
21110,27350,6
21110,27450,2
21180,20910,1
21180,21180,2
21180,23270,2
21180,24330,3
21180,24600,17
21450,21450,2
21450,24600,4
21610,21610,2
21610,22670,1
21610,24600,7
21610,24970,1
21610,26350,1
21610,27350,1
21890,21890,4
21890,24330,1
21890,24600,16
21890,25250,1
21890,25710,1
21890,27070,3
21890,27350,1
22170,22310,3
22170,23430,7
22170,24600,6
22170,25900,1
22170,26350,1
22170,27350,1
22310,21110,1
22310,21610,1
22310,22170,3
22310,22310,10
22310,23430,2
22310,24600,22
22310,24970,2
22310,26350,8
22310,27350,3
22670,21610,1
22670,22670,1
22670,24600,2
22670,24970,3
22670,26350,1
22750,22750,1
22750,24330,1
22750,24600,7
22750,27260,3
23110,23110,10
23110,24330,3
23110,24600,18
23110,27260,2
23110,27350,1
23270,21180,2
23270,24600,10
23270,24850,1
23270,25060,1
23430,20910,2
23430,22170,5
23430,22310,2
23430,23430,7
23430,24600,15
23430,24970,1
23430,26350,3
23430,27350,3
23670,21110,1
23670,24600,2
24130,24600,4
24330,21180,2
24330,21890,2
24330,22750,1
24330,23110,3
24330,24330,4
24330,24600,14
24330,25430,1
24330,27070,1
24330,27350,1
24410,21110,1
24410,24410,1
24410,24600,7
24410,26980,2
24410,27350,2
24410,27450,1
24600,20660,17
24600,20910,16
24600,21110,29
24600,21180,14
24600,21450,5
24600,21610,8
24600,21890,15
24600,22110,1
24600,22170,5
24600,22310,23
24600,22670,3
24600,22750,6
24600,23110,18
24600,23270,12
24600,23430,11
24600,23670,2
24600,24130,5
24600,24330,14
24600,24410,9
24600,24600,45
24600,24650,1
24600,24970,26
24600,25060,16
24600,25150,2
24600,25250,17
24600,25710,3
24600,25900,3
24600,26350,23
24600,26980,16
24600,27070,8
24600,27260,9
24600,27350,21
24600,27450,6
24650,24600,1
24850,23270,1
24970,21610,1
24970,22310,3
24970,22670,3
24970,23430,1
24970,24600,21
24970,24970,3
24970,25060,1
24970,26350,6
24970,27350,5
25060,23270,1
25060,24600,17
25060,24970,1
25060,25060,3
25060,25250,1
25060,27350,1
25150,24600,2
25250,24600,20
25250,25060,1
25250,25250,2
25250,26350,1
25710,20660,2
25710,21890,1
25710,24600,4
25900,20910,1
25900,22170,1
25900,23810,1
25900,24600,3
25900,27350,2
26350,20910,1
26350,22170,1
26350,22310,6
26350,23430,3
26350,24330,1
26350,24600,27
26350,24970,8
26350,25250,1
26350,26350,8
26350,26980,2
26350,27350,12
26980,21110,5
26980,24410,2
26980,24600,18
26980,26350,1
26980,26980,10
26980,27350,4
26980,27450,2
27070,21890,3
27070,24330,1
27070,24600,8
27070,27350,2
27260,21890,1
27260,22750,3
27260,23110,2
27260,24330,1
27260,24600,9
27260,27260,2
27260,27350,1
27350,20660,2
27350,20910,4
27350,21110,11
27350,21610,1
27350,21890,3
27350,22170,1
27350,22310,4
27350,23110,1
27350,23430,1
27350,24330,1
27350,24410,2
27350,24600,20
27350,24970,5
27350,25060,1
27350,25250,1
27350,25900,2
27350,26350,10
27350,26980,4
27350,27070,1
27350,27260,1
27350,27350,3
27450,21110,1
27450,24410,1
27450,24600,6
27450,26980,2
27450,27350,1
